no;female;male;foreign_born;age;education;real_wage;ln_real_wage
1;0;1;1;52;high.school;8.499999859;2.140066147
2;1;0;1;46;high.school;NA;NA
3;1;0;1;31;high.school;12.17999922;2.499795198
4;0;1;1;35;high.school;15.00000075;2.708050251
5;0;1;0;19;high.school;8.000000046;2.079441547
6;1;0;1;50;LTHS;NA;NA
7;0;1;1;33;LTHS;10.00000032;2.302585125
8;0;1;1;43;high.school;NA;NA
9;1;0;1;39;high.school;20.68999913;3.02965045
10;0;1;0;22;some.college;11.0000007;2.397895336
11;0;1;0;28;college;NA;NA
12;1;0;1;31;college;33.15000418;3.501042843
13;1;0;1;30;college;33.15000418;3.501042843
14;1;0;0;20;some.college;8.250000655;2.11021328
15;0;1;1;63;high.school;16.74999965;2.818398237
16;0;1;0;26;some.college;11.52499974;2.444518566
17;0;1;0;23;some.college;16.79000242;2.820783615
18;0;1;1;20;high.school;NA;NA
19;0;1;1;55;high.school;44.39000307;3.793014288
20;1;0;1;46;LTHS;14.00000096;2.639057398
21;0;1;1;39;high.school;NA;NA
22;1;0;1;38;high.school;12.00000028;2.484906673
23;1;0;1;41;some.college;25.50000008;3.238678455
24;1;0;0;21;some.college;8.250000655;2.11021328
25;0;1;1;23;some.college;NA;NA
26;1;0;0;30;some.college;15.00000075;2.708050251
27;1;0;0;41;some.college;12.99999892;2.564949274
28;0;1;0;19;high.school;9.000000357;2.197224617
29;0;1;0;39;college;24.0382486;3.179646254
30;1;0;0;40;advanced.degree;28.84600125;3.361971378
31;1;0;0;19;high.school;8.250000655;2.11021328
32;1;0;1;23;some.college;11.0000007;2.397895336
33;1;0;1;51;LTHS;14.00000096;2.639057398
34;0;1;1;49;college;37.99999837;3.637586117
35;1;0;0;47;high.school;18.99999915;2.944438934
36;0;1;0;24;high.school;14.00000096;2.639057398
37;1;0;1;47;high.school;7.50000036;2.014903069
38;1;0;0;19;high.school;7.250000199;1.981001496
39;0;1;1;42;advanced.degree;80.479991;4.388008595
